modelo,data_fraction,fold,semilla,dispositivo,n_train,n_val,epocas,n_params_entrenables,n_capas_vqc,commit_sha,timestamp,accuracy_train,accuracy_val,loss_train,loss_val,f1_val_weighted,f1_val_macro,sens_glioma,sens_meningioma,sens_pituitary,sens_notumor,spec_glioma,spec_meningioma,spec_pituitary,spec_notumor,train_time_s,inference_ms_per_batch,brecha_g
efficientnet_b0,0.1,0,42,mps,538,1346,1,5124,,c73543c-dirty,2026-08-17T23:17:43.809963+00:00,0.75,0.7191679049034175,0.8004480786621571,0.8618316348381949,0.7047469549858904,0.7014092259607819,0.6234567901234568,0.41896024464831805,0.9195402298850575,0.8904899135446686,0.9295499021526419,0.9283611383709519,0.843687374749499,0.9229229229229229,33.280339917000674,46.96902050272911,0.030832095096582468
resnet50,0.1,0,42,mps,538,1346,1,8196,,c73543c-dirty,2026-08-17T23:19:12.206388+00:00,0.703125,0.6322436849925706,0.9527697376906872,1.012024553002787,0.6004481550220381,0.5957789371580181,0.3425925925925926,0.27522935779816515,0.9712643678160919,0.899135446685879,0.9951076320939335,0.9548577036310107,0.6322645290581163,0.9229229229229229,35.375241542002186,95.43662500072969,0.07088131500742945
hqcnn,0.1,0,42,cpu,538,1346,1,5196,6,c73543c-dirty,2026-08-17T23:29:09.068314+00:00,0.427734375,0.39078751857355126,1.1164600886404514,1.1374364565244224,0.3145494090588073,0.3144285034575463,0.25308641975308643,0.290519877675841,0.9913793103448276,0.011527377521613832,0.9735812133072407,0.6594700686947988,0.5601202404809619,0.992992992992993,388.87550795899733,2315.776770497905,0.03694685642644874
